sex,location,year,unemployment
M,FI,2013,8.8
M,FR,2013,10.4
M,HR,2013,17.7
M,HU,2013,10.2
M,IE,2013,14.9
M,IS,2013,5.6
M,IT,2013,11.5
M,LT,2013,13.1
M,LU,2013,5.4
M,LV,2013,12.6
M,ME,2013,20
M,MK,2013,29
M,MT,2013,6.1
M,NL,2013,7.2
M,NO,2013,3.6
M,PL,2013,9.7
M,PT,2013,16.3
M,RO,2013,7.7
M,RS,2013,21.1
M,SE,2013,8.2
M,SI,2013,9.5
M,SK,2013,14
M,TR,2013,8
M,UK,2013,8
T,AT,2013,5.4
T,BE,2013,8.4
T,BG,2013,13
T,CH,2013,4.8
T,CY,2013,15.9
T,CZ,2013,7
T,DE,2013,5.2
T,DK,2013,7.4
T,EE,2013,8.6
T,EL,2013,27.5
T,ES,2013,26.1
T,FI,2013,8.2
T,FR,2013,10.4
T,HR,2013,17.3
T,HU,2013,10.2
T,IE,2013,13.8
T,IS,2013,5.4
T,IT,2013,12.2
T,LT,2013,11.8
T,LU,2013,5.9
T,LV,2013,11.9
T,ME,2013,19.5
T,MK,2013,29
T,MT,2013,6.1
T,NL,2013,7.3
T,NO,2013,3.4
T,PL,2013,10.3
T,PT,2013,16.4
T,RO,2013,7.1
T,RS,2013,22.3
T,SE,2013,8.1
T,SI,2013,10.1
T,SK,2013,14.2
T,TR,2013,8.8
T,UK,2013,7.5
F,AT,2012,4.8
F,BE,2012,7.4
F,BG,2012,10.8
F,CH,2012,4.7
F,CY,2012,11.1
F,CZ,2012,8.2
F,DE,2012,5.2
F,DK,2012,7.8
F,EE,2012,9.1
F,EL,2012,28.2
F,ES,2012,25.1
F,FI,2012,7.1
F,FR,2012,9.8
F,HR,2012,16.1
F,HU,2012,10.6
F,IE,2012,12.8
F,IS,2012,5.7
F,IT,2012,11.8
F,LT,2012,11.6
F,LU,2012,5.9
F,LV,2012,14
F,ME,2012,20.3
F,MK,2012,30.3
F,MT,2012,7.2
F,NL,2012,6.2
F,NO,2012,2.6
F,PL,2012,10.9
F,PT,2012,15.7
F,RO,2012,6.1
F,RS,2012,25.1
F,SE,2012,7.7
F,SI,2012,9.4
F,SK,2012,14.5
F,TR,2012,9.4
F,UK,2012,7.4
M,AT,2012,5
M,BE,2012,7.7
M,BG,2012,13.5
M,CH,2012,4.3
M,CY,2012,12.6
M,CZ,2012,6
M,DE,2012,5.6
M,DK,2012,7.8
M,EE,2012,10.9
M,EL,2012,21.6
M,ES,2012,24.6
M,FI,2012,8.3
M,FR,2012,9.8
M,HR,2012,16
M,HU,2012,11.3
M,IE,2012,17.8
M,IS,2012,6.3
M,IT,2012,9.8
M,LT,2012,15.2
M,LU,2012,4.5
M,LV,2012,16.2
M,ME,2012,19.8
M,MK,2012,31.5
M,MT,2012,5.6
M,NL,2012,5.5
M,NO,2012,3.6
M,PL,2012,9.4
M,PT,2012,15.9
M,RO,2012,7.4
M,RS,2012,23.4
M,SE,2012,8.2
M,SI,2012,8.4
M,SK,2012,13.5
M,TR,2012,7.7
M,UK,2012,8.3
T,AT,2012,4.9
T,BE,2012,7.6
T,BG,2012,12.3
T,CH,2012,4.5
T,CY,2012,11.9
T,CZ,2012,7
T,DE,2012,5.4
T,DK,2012,7.8
T,EE,2012,10
T,EL,2012,24.5
T,ES,2012,24.8
T,FI,2012,7.7
T,FR,2012,9.8
T,HR,2012,16
T,HU,2012,11
T,IE,2012,15.5
T,IS,2012,6
T,IT,2012,10.7
T,LT,2012,13.4
T,LU,2012,5.1
T,LV,2012,15
T,ME,2012,20
T,MK,2012,31
T,MT,2012,6.2
T,NL,2012,5.8
T,NO,2012,3.1
T,PL,2012,10.1
T,PT,2012,15.8
T,RO,2012,6.8
T,RS,2012,24.1
T,SE,2012,8
T,SI,2012,8.9
T,SK,2012,14
T,TR,2012,8.2
T,UK,2012,7.9
F,AT,2011,4.6
F,BE,2011,7.2
F,BG,2011,10.1
F,CH,2011,4.8
F,CY,2011,7.7
F,CZ,2011,7.9
F,DE,2011,5.6
F,DK,2011,7.6
F,EE,2011,11.6
F,EL,2011,21.5
F,ES,2011,21.8
F,FI,2011,7.1
F,FR,2011,9.6
F,HR,2011,13.8
F,HU,2011,11
F,IE,2011,12.5
F,IS,2011,6.2
F,IT,2011,9.6
F,LT,2011,12.9
F,LU,2011,6.3
F,LV,2011,13.8
F,ME,2011,20.1
F,MK,2011,30.8
F,MT,2011,7.1
F,NL,2011,5.4
F,NO,2011,3
F,PL,2011,10.4
F,PT,2011,13.2
F,RO,2011,6.5
F,RS,2011,23.9
F,SE,2011,7.8
F,SI,2011,8.2
F,SK,2011,13.6
F,TR,2011,10.1
F,UK,2011,7.4
M,AT,2011,4.6
M,BE,2011,7.1
M,BG,2011,12.3
M,CH,2011,4.1
M,CY,2011,8.1
M,CZ,2011,5.8
M,DE,2011,6.1
M,DK,2011,7.9
M,EE,2011,13.1
M,EL,2011,15.2
M,ES,2011,21.1
M,FI,2011,8.4
M,FR,2011,8.9
M,HR,2011,13.7
M,HU,2011,11.1
M,IE,2011,17.8
M,IS,2011,7.8
M,IT,2011,7.5
M,LT,2011,17.9
M,LU,2011,3.8
M,LV,2011,18.6
M,ME,2011,19.3
M,MK,2011,31.8
M,MT,2011,6
M,NL,2011,4.6
M,NO,2011,3.4
M,PL,2011,9
M,PT,2011,12.6
M,RO,2011,7.7
M,RS,2011,22.5
M,SE,2011,7.8
M,SI,2011,8.2
M,SK,2011,13.6
M,TR,2011,8.3
M,UK,2011,8.7
T,AT,2011,4.6
T,BE,2011,7.2
T,BG,2011,11.3
T,CH,2011,4.4
T,CY,2011,7.9
T,CZ,2011,6.7
T,DE,2011,5.8
T,DK,2011,7.8
T,EE,2011,12.3
T,EL,2011,17.9
T,ES,2011,21.4
T,FI,2011,7.8
T,FR,2011,9.2
T,HR,2011,13.7
T,HU,2011,11
T,IE,2011,15.4
T,IS,2011,7
T,IT,2011,8.4
T,LT,2011,15.4
T,LU,2011,4.9
T,LV,2011,16.2
T,ME,2011,19.7
T,MK,2011,31.4
T,MT,2011,6.4
T,NL,2011,5
T,NO,2011,3.2
T,PL,2011,9.7
T,PT,2011,12.9
T,RO,2011,7.2
T,RS,2011,23.1
T,SE,2011,7.8
T,SI,2011,8.2
T,SK,2011,13.6
T,TR,2011,8.8
T,UK,2011,8.1
F,AT,2010,4.6
F,BE,2010,8.5
F,BG,2010,9.6
F,CH,2010,5.2
