index,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,pitcher_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
17394,SL,2008-06-09,82.6,,,Randy Johnson,137006,116615,,ball,,,,,12,,R,L,L,PIT,ARI,B,,,0,0,2008,0.1483333333333333,0.42990666666666655,1.501,2.916,,,346859.0,1,4,Bot,,,,,,,080609_134128,-2.959,-120.322,-0.949,2.894,26.165,-29.779,3.479,1.5,,,,,,,234718,116615,,,,,,,,,,,,,,,,,31,1,Slider,1,1,1,1,1,1,1,1,,
17400,SL,2008-08-17,82.6,,,Randy Johnson,400061,116615,,foul_bunt,,,,,5,,R,R,L,HOU,ARI,S,,,0,0,2008,-0.4159875,0.2888666666666666,-0.259,2.346,,,110385.0,1,2,Bot,,,,,,,080817_135135,-5.895,-120.197,-2.344,-3.013,22.81,-31.191,3.416,1.688,,,,,,,235610,116615,,,,,,,,,,,,,,,,,15,1,Slider,3,0,3,0,0,3,3,0,,
17421,SL,2008-04-25,82.6,,,Randy Johnson,408236,116615,,swinging_strike,,,,,13,,R,L,L,SD,ARI,S,,,0,0,2008,-0.3433425,0.6354466666666666,-1.027,1.923,,,,0,4,Bot,,,,,,,080425_200009,-6.617,-120.087,-3.195,-2.164,30.464,-27.812,3.88,1.83,,,,,,,234099,116615,,,,,,,,,,,,,,,,,32,1,Slider,0,5,0,5,5,0,0,5,,
17422,SL,2008-08-12,82.6,,,Randy Johnson,425547,116615,,called_strike,,,,,8,,R,L,L,COL,ARI,S,,,0,0,2008,-0.2531625,0.2462966666666666,0.198,2.092,,,,1,2,Bot,,,,,,,080812_193514,-5.579,-120.076,-2.735,-1.282,25.115,-31.632,3.4,1.53,,,,,,,235536,116615,,,,,,,,,,,,,,,,,15,1,Slider,1,2,1,2,2,1,1,2,,
17430,FS,2008-09-13,82.6,,,Randy Johnson,429665,116615,single,hit_into_play_no_out,,,,,6,Edwin Encarnacion singles on a line drive to center fielder Chris Young.,R,R,L,ARI,CIN,X,,line_drive,0,0,2008,1.1027383333333332,0.68676,0.323,2.709,,,,0,6,Top,129.52,101.41,,,,,080913_190248,-6.884,-120.103,-2.939,12.858,24.613,-27.171,3.47,1.76,,,,,,,235969,116615,,,,,,,,,,,,0.9,,1.0,0.0,,43,1,Split Finger,1,1,1,1,1,1,1,1,,
17439,SL,2008-04-25,82.6,,,Randy Johnson,408236,116615,field_out,hit_into_play,,,,,5,Adrian Gonzalez flies out to right fielder Justin Upton.,R,L,L,SD,ARI,X,9.0,fly_ball,1,0,2008,-0.6822133333333332,0.8107433333333331,-0.018,2.582,,,,2,1,Bot,163.65,114.46,,,,,080425_191659,-4.278,-120.166,-2.114,-5.635,29.564,-26.05,3.88,1.83,,,,,,,234099,116615,,,,,,,,,,,,0.0,,0.0,0.0,,7,2,Slider,0,0,0,0,0,0,0,0,,
17455,SL,2008-07-27,82.6,,,Randy Johnson,400023,116615,,swinging_strike,,,,,13,,R,R,L,SF,ARI,S,,,1,0,2008,0.228215,0.2427133333333333,-0.842,2.114,,,134260.0,1,6,Bot,,,,,,,080727_150340,-8.44,-119.989,-2.591,3.882,15.711,-31.65,3.38,1.5,,,,,,,235320,116615,,,,,,,,,,,,,,,,,54,2,Slider,0,6,0,6,6,0,0,6,,
17478,SL,2008-04-20,82.5,,,Randy Johnson,408236,116615,,ball,,,,,14,,R,L,L,ARI,SD,B,,,0,0,2008,-0.5636433333333332,0.7171466666666666,1.032,2.248,,,435338.0,1,3,Top,,,,,,,080420_135457,-1.731,-120.162,-3.15,-4.589,21.674,-26.786,3.51,1.7,,,,,,,234038,116615,,,,,,,,,,,,,,,,,19,1,Slider,1,0,0,1,0,1,0,1,,
17494,SL,2008-04-25,82.5,,,Randy Johnson,450825,116615,field_out,hit_into_play,,,,,13,Callix Crabbe pops out to second baseman Orlando Hudson.,R,R,L,SD,ARI,X,4.0,popup,1,1,2008,-0.14349916666666665,1.1159,-0.543,1.36,,,,0,3,Bot,118.47,129.52,,,,,080425_194410,-5.892,-119.849,-5.742,-0.138,27.187,-22.979,3.38,1.5,,,,,,,234099,116615,,,,,,,,,,,,0.0,,0.0,0.0,,23,3,Slider,0,5,0,5,5,0,0,5,,
17496,SL,2008-05-24,82.5,,,Randy Johnson,453923,116615,field_out,hit_into_play,,,,,8,"Gregor Blanco grounds out, second baseman Orlando Hudson to first baseman Conor Jackson.",R,L,L,ATL,ARI,X,4.0,ground_ball,1,1,2008,-0.1666008333333333,0.12761666666666666,0.079,1.76,,,,0,5,Bot,153.61,147.59,,,,,080524_171112,-5.577,-119.97,-2.673,-0.391,19.111,-32.849,3.145,1.42,,,,,,,234495,116615,,,,,,,,,,,,0.0,,0.0,0.0,,34,3,Slider,1,0,1,0,0,1,1,0,,
