sex,location,year,unemployment,country
M,ES6,2018,18.8,ES
M,ES7,2018,18.9,ES
M,FI1,2018,7.4,FI
M,FI2,2018,,FI
M,FR1,2018,9.1,FR
M,FRB,2018,8.5,FR
M,FRC,2018,8.4,FR
M,FRD,2018,9.1,FR
M,FRE,2018,12,FR
M,FRF,2018,8.7,FR
M,FRG,2018,7,FR
M,FRH,2018,6.6,FR
M,FRI,2018,8.6,FR
M,FRJ,2018,8.5,FR
M,FRK,2018,7.3,FR
M,FRL,2018,9.6,FR
M,FRM,2018,,FR
M,FRY,2018,21.8,FR
M,HR0,2018,7.7,HR
M,HU1,2018,2.5,HU
M,HU2,2018,2.7,HU
M,HU3,2018,4.8,HU
M,IE0,2018,5.8,IE
M,IS0,2018,2.8,IS
M,ITC,2018,6.1,IT
M,ITF,2018,16,IT
M,ITG,2018,18.7,IT
M,ITH,2018,5,IT
M,ITI,2018,8.6,IT
M,LT0,2018,6.9,LT
M,LU0,2018,5.3,LU
M,LV0,2018,8.4,LV
M,ME0,2018,15.3,ME
M,MK0,2018,21.3,MK
M,MT0,2018,3.8,MT
M,NL1,2018,4.7,NL
M,NL2,2018,3.4,NL
M,NL3,2018,3.9,NL
M,NL4,2018,3.3,NL
M,NO0,2018,4,NO
M,PL2,2018,3.2,PL
M,PL4,2018,2.7,PL
M,PL5,2018,3,PL
M,PL6,2018,3.9,PL
M,PL7,2018,4.9,PL
M,PL8,2018,5.5,PL
M,PL9,2018,4.3,PL
M,PT1,2018,6.6,PT
M,PT2,2018,8.3,PT
M,PT3,2018,9.5,PT
M,RO1,2018,3.9,RO
M,RO2,2018,4.1,RO
M,RO3,2018,4.9,RO
M,RO4,2018,6.5,RO
M,RS1,2018,10,RS
M,RS2,2018,14.2,RS
M,SE1,2018,6.3,SE
M,SE2,2018,6.9,SE
M,SE3,2018,6,SE
M,SI0,2018,4.6,SI
M,SK0,2018,6.1,SK
M,TR1,2018,10.9,TR
M,TR2,2018,4.7,TR
M,TR3,2018,7.8,TR
M,TR4,2018,7.7,TR
M,TR5,2018,7.2,TR
M,TR6,2018,10.2,TR
M,TR7,2018,9.8,TR
M,TR8,2018,5.4,TR
M,TR9,2018,5.8,TR
M,TRA,2018,6.6,TR
M,TRB,2018,15.1,TR
M,TRC,2018,17.4,TR
M,UKC,2018,4.9,UK
M,UKD,2018,4.3,UK
M,UKE,2018,4.4,UK
M,UKF,2018,4.3,UK
M,UKG,2018,4.9,UK
M,UKH,2018,3,UK
M,UKI,2018,4.6,UK
M,UKJ,2018,3.3,UK
M,UKK,2018,2.9,UK
M,UKL,2018,4.5,UK
M,UKM,2018,4.4,UK
M,UKN,2018,4.6,UK
T,AT1,2018,6.9,AT
T,AT2,2018,4.1,AT
T,AT3,2018,3,AT
T,BE1,2018,13.2,BE
T,BE2,2018,3.4,BE
T,BE3,2018,8.5,BE
T,BG3,2018,7.4,BG
T,BG4,2018,3.2,BG
T,CH0,2018,4.7,CH
T,CY0,2018,8.4,CY
T,CZ0,2018,2.2,CZ
T,DE1,2018,2.5,DE
T,DE2,2018,2.2,DE
T,DE3,2018,6.1,DE
T,DE4,2018,4.1,DE
T,DE5,2018,4.3,DE
T,DE6,2018,4.1,DE
T,DE7,2018,3.2,DE
T,DE8,2018,4.9,DE
T,DE9,2018,3.3,DE
T,DEA,2018,3.8,DE
T,DEB,2018,3.1,DE
T,DEC,2018,3.6,DE
T,DED,2018,4,DE
T,DEE,2018,5.3,DE
T,DEF,2018,3.1,DE
T,DEG,2018,4.1,DE
T,DK0,2018,5.1,DK
T,EE0,2018,5.4,EE
T,EL3,2018,19.9,EL
T,EL4,2018,15.9,EL
T,EL5,2018,20.3,EL
T,EL6,2018,18.9,EL
T,ES1,2018,13,ES
T,ES2,2018,10.2,ES
T,ES3,2018,12.2,ES
T,ES4,2018,16.6,ES
T,ES5,2018,12.9,ES
T,ES6,2018,22.1,ES
T,ES7,2018,20.1,ES
T,FI1,2018,7.4,FI
T,FI2,2018,,FI
T,FR1,2018,8.8,FR
T,FRB,2018,8.3,FR
T,FRC,2018,8.2,FR
T,FRD,2018,8.7,FR
T,FRE,2018,11.2,FR
T,FRF,2018,8.9,FR
T,FRG,2018,7.8,FR
T,FRH,2018,6.8,FR
T,FRI,2018,8.8,FR
T,FRJ,2018,9.5,FR
T,FRK,2018,7.4,FR
T,FRL,2018,9.3,FR
T,FRM,2018,5,FR
T,FRY,2018,22.8,FR
T,HR0,2018,8.5,HR
T,HU1,2018,2.7,HU
T,HU2,2018,3.1,HU
