,id,name,description,State,StateCode,CityCodeSmall,CityName,Population2020,EducationCouncilExists,NurseTechnicians,Nurses,CommunityHealthAgents,Physicians
76,4304358,Candiota,Candiota,RS,43,4358,Candiota,"9,647",Sim,10.0,4.0,19.0,5.0
77,4304408,Canela,Canela,RS,43,4408,Canela,"45,488",Sim,14.0,6.0,26.0,6.0
78,4304507,Canguçu,Canguçu,RS,43,4507,Canguçu,"56,211",Sim,7.0,5.0,29.0,5.0
79,4304606,Canoas,Canoas,RS,43,4606,Canoas,"348,208",Sim,130.0,84.0,323.0,54.0
80,4304614,Canudos do Vale,Canudos do Vale,RS,43,4614,Canudos do Vale,"1,705",Sim,1.0,1.0,4.0,1.0
81,4304622,Capão Bonito do Sul,Capão Bonito do Sul,RS,43,4622,Capão Bonito do Sul,"1,641",Sim,2.0,3.0,4.0,5.0
82,4304630,Capão da Canoa,Capão da Canoa,RS,43,4630,Capão da Canoa,"54,051",Sim,9.0,10.0,19.0,9.0
83,4304655,Capão do Cipó,Capão do Cipó,RS,43,4655,Capão do Cipó,"3,699",Sim,3.0,2.0,9.0,2.0
84,4304663,Capão do Leão,Capão do Leão,RS,43,4663,Capão do Leão,"25,409",Sim,1.0,1.0,2.0,1.0
85,4304671,Capivari do Sul,Capivari do Sul,RS,43,4671,Capivari do Sul,"4,728",Sim,4.0,1.0,9.0,1.0
86,4304689,Capela de Santana,Capela de Santana,RS,43,4689,Capela de Santana,"12,064",Sim,4.0,3.0,17.0,3.0
87,4304697,Capitão,Capitão,RS,43,4697,Capitão,"2,763",Sim,1.0,0.0,7.0,1.0
88,4304705,Carazinho,Carazinho,RS,43,4705,Carazinho,"62,265",Sim,20.0,14.0,30.0,12.0
89,4304713,Caraá,Caraá,RS,43,4713,Caraá,"8,350",Sim,8.0,3.0,16.0,3.0
90,4304804,Carlos Barbosa,Carlos Barbosa,RS,43,4804,Carlos Barbosa,"30,241",Sim,2.0,2.0,12.0,2.0
91,4304853,Carlos Gomes,Carlos Gomes,RS,43,4853,Carlos Gomes,"1,351",Sim,4.0,2.0,6.0,1.0
92,4304903,Casca,Casca,RS,43,4903,Casca,"9,051",Sim,2.0,2.0,21.0,2.0
93,4304952,Caseiros,Caseiros,RS,43,4952,Caseiros,"3,216",Sim,,,,
94,4305009,Catuípe,Catuípe,RS,43,5009,Catuípe,"8,701",Sim,4.0,4.0,25.0,4.0
95,4305108,Caxias do Sul,Caxias do Sul,RS,43,5108,Caxias do Sul,"517,451",Sim,99.0,46.0,183.0,46.0
96,4305116,Centenário,Centenário,RS,43,5116,Centenário,"2,877",Sim,2.0,1.0,7.0,0.0
97,4305124,Cerrito,Cerrito,RS,43,5124,Cerrito,"6,047",Sim,2.0,2.0,8.0,2.0
98,4305132,Cerro Branco,Cerro Branco,RS,43,5132,Cerro Branco,"4,706",Sim,6.0,2.0,12.0,2.0
99,4305157,Cerro Grande,Cerro Grande,RS,43,5157,Cerro Grande,"2,296",Sim,6.0,2.0,7.0,2.0
100,4305173,Cerro Grande do Sul,Cerro Grande do Sul,RS,43,5173,Cerro Grande do Sul,"12,413",Sim,3.0,3.0,22.0,3.0
101,4305207,Cerro Largo,Cerro Largo,RS,43,5207,Cerro Largo,"14,189",Sim,9.0,4.0,34.0,4.0
102,4305306,Chapada,Chapada,RS,43,5306,Chapada,"9,239",Sim,14.0,6.0,24.0,4.0
103,4305355,Charqueadas,Charqueadas,RS,43,5355,Charqueadas,"41,258",Sim,31.0,12.0,55.0,12.0
104,4305371,Charrua,Charrua,RS,43,5371,Charrua,"3,252",Sim,2.0,1.0,6.0,1.0
105,4305405,Chiapetta,Chiapetta,RS,43,5405,Chiapetta,"3,719",Sim,2.0,2.0,10.0,2.0
106,4305439,Chuí,Chuí,RS,43,5439,Chuí,"6,770",Sim,1.0,1.0,5.0,1.0
107,4305447,Chuvisca,Chuvisca,RS,43,5447,Chuvisca,"5,480",Sim,,,,
108,4305454,Cidreira,Cidreira,RS,43,5454,Cidreira,"16,583",Sim,6.0,4.0,36.0,4.0
109,4305504,Ciríaco,Ciríaco,RS,43,5504,Ciríaco,"4,719",Sim,2.0,2.0,13.0,2.0
110,4305587,Colinas,Colinas,RS,43,5587,Colinas,"2,469",Sim,3.0,1.0,5.0,2.0
111,4305603,Colorado,Colorado,RS,43,5603,Colorado,"3,130",Sim,2.0,3.0,11.0,2.0
112,4305702,Condor,Condor,RS,43,5702,Condor,"6,759",Sim,6.0,4.0,13.0,5.0
113,4305801,Constantina,Constantina,RS,43,5801,Constantina,"9,907",Sim,3.0,3.0,10.0,3.0
114,4305835,Coqueiro Baixo,Coqueiro Baixo,RS,43,5835,Coqueiro Baixo,"1,495",Sim,1.0,1.0,4.0,0.0
115,4305850,Coqueiros do Sul,Coqueiros do Sul,RS,43,5850,Coqueiros do Sul,"2,286",Sim,2.0,1.0,6.0,1.0
116,4305871,Coronel Barros,Coronel Barros,RS,43,5871,Coronel Barros,"2,520",Sim,2.0,2.0,6.0,4.0
117,4305900,Coronel Bicaco,Coronel Bicaco,RS,43,5900,Coronel Bicaco,"7,268",Sim,3.0,3.0,16.0,3.0
118,4305934,Coronel Pilar,Coronel Pilar,RS,43,5934,Coronel Pilar,"1,614",Sim,,,,
